,number,value,datetime_start,datetime_complete,duration,params_activation,params_bottleneck_size,params_dropout_l1,params_dropout_l2,params_dropout_l3,params_dropout_l4,params_dropout_l5,params_dropout_l6,params_lr,params_n_layers,params_optimizer,user_attrs_bottleneck,user_attrs_decoder_dropout1,user_attrs_decoder_dropout2,user_attrs_decoder_dropout3,user_attrs_decoder_dropout4,user_attrs_decoder_dropout5,user_attrs_decoder_dropout6,user_attrs_decoder_final,user_attrs_decoder_layer1,user_attrs_decoder_layer2,user_attrs_decoder_layer3,user_attrs_decoder_layer4,user_attrs_decoder_layer5,user_attrs_decoder_layer6,user_attrs_encoder_dropout1,user_attrs_encoder_dropout2,user_attrs_encoder_dropout3,user_attrs_encoder_dropout4,user_attrs_encoder_dropout5,user_attrs_encoder_dropout6,user_attrs_encoder_layer1,user_attrs_encoder_layer2,user_attrs_encoder_layer3,user_attrs_encoder_layer4,user_attrs_encoder_layer5,user_attrs_encoder_layer6,state
0,0,0.4797731935977936,2023-04-05 10:23:00.166685,2023-04-05 10:23:10.105580,0 days 00:00:09.938895,5,44,0.38280630543434796,0.38725968873766137,,,,,0.004139846180945393,2,RMSprop,"[48, 44]",0.38280630543434796,0.38725968873766137,,,,,"[386, 193]","[44, 48]","[48, 386]",,,,,0.38280630543434796,0.38725968873766137,,,,,"[386, 48]","[193, 386]",,,,,COMPLETE
1,1,151127824.0,2023-04-05 10:23:10.106494,2023-04-05 10:29:40.845200,0 days 00:06:30.738706,2,91,0.44475915588226983,0.04981497359958881,0.04028297042941387,0.27516882883844307,0.30308664104905736,0.4903166703675993,0.0301873415256081,6,Adagrad,"[48, 91]",0.44475915588226983,0.04981497359958881,0.04028297042941387,0.27516882883844307,0.30308664104905736,0.4903166703675993,"[10422, 193]","[91, 48]","[48, 386]","[386, 1302]","[1302, 3088]","[3088, 6031]","[6031, 10422]",0.44475915588226983,0.04981497359958881,0.04028297042941387,0.27516882883844307,0.30308664104905736,0.4903166703675993,"[386, 48]","[1302, 386]","[3088, 1302]","[6031, 3088]","[10422, 6031]","[193, 10422]",COMPLETE
2,2,0.4763264060020447,2023-04-05 10:29:40.846553,2023-04-05 10:29:51.577421,0 days 00:00:10.730868,5,88,0.062175866824008774,0.3374198801315376,0.019877748448326293,,,,1.4463258200828162e-05,3,Adam,"[48, 88]",0.062175866824008774,0.3374198801315376,0.019877748448326293,,,,"[1302, 193]","[88, 48]","[48, 386]","[386, 1302]",,,,0.062175866824008774,0.3374198801315376,0.019877748448326293,,,,"[386, 48]","[1302, 386]","[193, 1302]",,,,COMPLETE
3,3,0.7156698703765869,2023-04-05 10:29:51.578429,2023-04-05 10:30:18.008940,0 days 00:00:26.430511,5,116,0.10437648170962155,0.01444685772991866,0.39748825355982925,0.025913739733935015,,,0.005511860819275482,4,Adam,"[48, 116]",0.10437648170962155,0.01444685772991866,0.39748825355982925,0.025913739733935015,,,"[3088, 193]","[116, 48]","[48, 386]","[386, 1302]","[1302, 3088]",,,0.10437648170962155,0.01444685772991866,0.39748825355982925,0.025913739733935015,,,"[386, 48]","[1302, 386]","[3088, 1302]","[193, 3088]",,,COMPLETE
4,4,0.9819924235343933,2023-04-05 10:30:18.010038,2023-04-05 10:32:07.234337,0 days 00:01:49.224299,0,121,0.23854957283048966,0.322351448189139,0.02377469482756439,0.11487552498146936,0.404703504756849,,0.006599465726624124,5,RMSprop,"[48, 121]",0.23854957283048966,0.322351448189139,0.02377469482756439,0.11487552498146936,0.404703504756849,,"[6031, 193]","[121, 48]","[48, 386]","[386, 1302]","[1302, 3088]","[3088, 6031]",,0.23854957283048966,0.322351448189139,0.02377469482756439,0.11487552498146936,0.404703504756849,,"[386, 48]","[1302, 386]","[3088, 1302]","[6031, 3088]","[193, 6031]",,COMPLETE
5,5,1.0005580186843872,2023-04-05 10:32:07.235371,2023-04-05 10:32:38.114726,0 days 00:00:30.879355,4,39,0.45612336481322063,0.42743775352527397,0.017614023285131064,0.2181623220224866,0.3332763082991898,0.22149323730399612,1.0206390697093859e-05,6,SGD,"[48, 39]",0.45612336481322063,0.42743775352527397,0.017614023285131064,0.2181623220224866,0.3332763082991898,0.22149323730399612,"[10422, 193]","[39, 48]","[48, 386]","[386, 1302]","[1302, 3088]","[3088, 6031]","[6031, 10422]",0.45612336481322063,0.42743775352527397,0.017614023285131064,0.2181623220224866,0.3332763082991898,0.22149323730399612,"[386, 48]","[1302, 386]","[3088, 1302]","[6031, 3088]","[10422, 6031]","[193, 10422]",PRUNED
6,6,40.033260345458984,2023-04-05 10:32:38.115573,2023-04-05 10:32:38.335636,0 days 00:00:00.220063,5,108,0.0005156307473506705,0.3579506769292031,0.0380823059802714,,,,0.0862413017610416,3,RMSprop,"[48, 108]",0.0005156307473506705,0.3579506769292031,0.0380823059802714,,,,"[1302, 193]","[108, 48]","[48, 386]","[386, 1302]",,,,0.0005156307473506705,0.3579506769292031,0.0380823059802714,,,,"[386, 48]","[1302, 386]","[193, 1302]",,,,PRUNED
7,7,1.0036860704421997,2023-04-05 10:32:38.336308,2023-04-05 10:32:46.893355,0 days 00:00:08.557047,1,118,0.2954527968657207,0.038419292752230494,0.37773051903079663,0.12890529691018537,0.20489442499502758,,0.00043017519634974444,5,SGD,"[48, 118]",0.2954527968657207,0.038419292752230494,0.37773051903079663,0.12890529691018537,0.20489442499502758,,"[6031, 193]","[118, 48]","[48, 386]","[386, 1302]","[1302, 3088]","[3088, 6031]",,0.2954527968657207,0.038419292752230494,0.37773051903079663,0.12890529691018537,0.20489442499502758,,"[386, 48]","[1302, 386]","[3088, 1302]","[6031, 3088]","[193, 6031]",,PRUNED
8,8,19580.65625,2023-04-05 10:32:46.894159,2023-04-05 10:32:49.373258,0 days 00:00:02.479099,2,98,0.15391603844237178,0.08087718611937811,0.22399336395119068,0.44272846592424686,0.4749883130866703,,0.012464816831699938,5,Adagrad,"[48, 98]",0.15391603844237178,0.08087718611937811,0.22399336395119068,0.44272846592424686,0.4749883130866703,,"[6031, 193]","[98, 48]","[48, 386]","[386, 1302]","[1302, 3088]","[3088, 6031]",,0.15391603844237178,0.08087718611937811,0.22399336395119068,0.44272846592424686,0.4749883130866703,,"[386, 48]","[1302, 386]","[3088, 1302]","[6031, 3088]","[193, 6031]",,PRUNED
9,9,1.0078489780426025,2023-04-05 10:32:49.374365,2023-04-05 10:32:50.153915,0 days 00:00:00.779550,0,114,0.11049186705536873,0.2954245935140343,,,,,0.0009384101005889428,2,SGD,"[48, 114]",0.11049186705536873,0.2954245935140343,,,,,"[386, 193]","[114, 48]","[48, 386]",,,,,0.11049186705536873,0.2954245935140343,,,,,"[386, 48]","[193, 386]",,,,,PRUNED
