,number,value,datetime_start,datetime_complete,duration,params_activation,params_bottleneck_size,params_dropout_l1,params_dropout_l2,params_dropout_l3,params_dropout_l4,params_dropout_l5,params_lr,params_n_layers,params_optimizer,user_attrs_bottleneck,user_attrs_decoder_dropout1,user_attrs_decoder_dropout2,user_attrs_decoder_dropout3,user_attrs_decoder_dropout4,user_attrs_decoder_dropout5,user_attrs_decoder_final,user_attrs_decoder_layer1,user_attrs_decoder_layer2,user_attrs_decoder_layer3,user_attrs_decoder_layer4,user_attrs_decoder_layer5,user_attrs_encoder_dropout1,user_attrs_encoder_dropout2,user_attrs_encoder_dropout3,user_attrs_encoder_dropout4,user_attrs_encoder_dropout5,user_attrs_encoder_layer1,user_attrs_encoder_layer2,user_attrs_encoder_layer3,user_attrs_encoder_layer4,user_attrs_encoder_layer5,state
11,11,0.3289209306240082,2023-04-04 17:59:21.601650,2023-04-04 17:59:48.879423,0 days 00:00:27.277773,4,126,0.2398631182395595,0.15049553254948286,0.3908731416116044,0.12077654177555641,,0.0005033643560167088,4,Adam,"[48, 126]",0.2398631182395595,0.15049553254948286,0.3908731416116044,0.12077654177555641,,"[3088, 193]","[126, 48]","[48, 386]","[386, 1302]","[1302, 3088]",,0.2398631182395595,0.15049553254948286,0.3908731416116044,0.12077654177555641,,"[386, 48]","[1302, 386]","[3088, 1302]","[193, 3088]",,COMPLETE
12,12,0.367166668176651,2023-04-04 17:59:48.880552,2023-04-04 17:59:59.581639,0 days 00:00:10.701087,4,127,0.2753505496595154,0.0023939109788717328,0.3571264304398981,,,0.0011735866342509399,3,Adam,"[48, 127]",0.2753505496595154,0.0023939109788717328,0.3571264304398981,,,"[1302, 193]","[127, 48]","[48, 386]","[386, 1302]",,,0.2753505496595154,0.0023939109788717328,0.3571264304398981,,,"[386, 48]","[1302, 386]","[193, 1302]",,,COMPLETE
13,13,0.35402604937553406,2023-04-04 17:59:59.582575,2023-04-04 18:00:27.196533,0 days 00:00:27.613958,4,116,0.21270614692165418,0.13327894235715262,0.3584230164498071,0.06375402111927446,,8.536866618805206e-05,4,Adam,"[48, 116]",0.21270614692165418,0.13327894235715262,0.3584230164498071,0.06375402111927446,,"[3088, 193]","[116, 48]","[48, 386]","[386, 1302]","[1302, 3088]",,0.21270614692165418,0.13327894235715262,0.3584230164498071,0.06375402111927446,,"[386, 48]","[1302, 386]","[3088, 1302]","[193, 3088]",,COMPLETE
14,14,0.9549153447151184,2023-04-04 18:00:27.197527,2023-04-04 18:00:27.811786,0 days 00:00:00.614259,4,115,0.20374456244466593,0.20917252017724752,0.3658338993497805,0.06753485783188845,,1.1673784716908373e-05,4,Adam,"[48, 115]",0.20374456244466593,0.20917252017724752,0.3658338993497805,0.06753485783188845,,"[3088, 193]","[115, 48]","[48, 386]","[386, 1302]","[1302, 3088]",,0.20374456244466593,0.20917252017724752,0.3658338993497805,0.06753485783188845,,"[386, 48]","[1302, 386]","[3088, 1302]","[193, 3088]",,PRUNED
15,15,0.3544609844684601,2023-04-04 18:00:27.812513,2023-04-04 18:02:18.557984,0 days 00:01:50.745471,2,88,0.20449060766172722,0.15282859963200668,0.4632773298074576,0.12973270558360855,0.022981870475507316,7.301595776297248e-05,5,RMSprop,"[48, 88]",0.20449060766172722,0.15282859963200668,0.4632773298074576,0.12973270558360855,0.022981870475507316,"[6031, 193]","[88, 48]","[48, 386]","[386, 1302]","[1302, 3088]","[3088, 6031]",0.20449060766172722,0.15282859963200668,0.4632773298074576,0.12973270558360855,0.022981870475507316,"[386, 48]","[1302, 386]","[3088, 1302]","[6031, 3088]","[193, 6031]",COMPLETE
16,16,0.4378148019313812,2023-04-04 18:02:18.559020,2023-04-04 18:02:45.014350,0 days 00:00:26.455330,0,76,0.31753860358526464,0.2820287608332347,0.3237267992802122,0.03273845903876049,,0.0006073572341352482,4,Adam,"[48, 76]",0.31753860358526464,0.2820287608332347,0.3237267992802122,0.03273845903876049,,"[3088, 193]","[76, 48]","[48, 386]","[386, 1302]","[1302, 3088]",,0.31753860358526464,0.2820287608332347,0.3237267992802122,0.03273845903876049,,"[386, 48]","[1302, 386]","[3088, 1302]","[193, 3088]",,COMPLETE
17,17,0.3401893079280853,2023-04-04 18:02:45.015315,2023-04-04 18:02:56.085733,0 days 00:00:11.070418,4,114,0.21183439609753518,0.2048124054018366,0.4227302949194426,,,0.0011153762937748783,3,Adam,"[48, 114]",0.21183439609753518,0.2048124054018366,0.4227302949194426,,,"[1302, 193]","[114, 48]","[48, 386]","[386, 1302]",,,0.21183439609753518,0.2048124054018366,0.4227302949194426,,,"[386, 48]","[1302, 386]","[193, 1302]",,,COMPLETE
18,18,0.38088762760162354,2023-04-04 18:02:56.086779,2023-04-04 18:03:07.018326,0 days 00:00:10.931547,4,111,0.2997082684684676,0.20943976640479128,0.44632358398410393,,,0.0015432848607453034,3,Adam,"[48, 111]",0.2997082684684676,0.20943976640479128,0.44632358398410393,,,"[1302, 193]","[111, 48]","[48, 386]","[386, 1302]",,,0.2997082684684676,0.20943976640479128,0.44632358398410393,,,"[386, 48]","[1302, 386]","[193, 1302]",,,COMPLETE
19,19,2.880483865737915,2023-04-04 18:03:07.019344,2023-04-04 18:03:07.255703,0 days 00:00:00.236359,4,36,0.15415354068913217,0.2518209751677586,0.44585723144376055,,,0.003441824443764963,3,RMSprop,"[48, 36]",0.15415354068913217,0.2518209751677586,0.44585723144376055,,,"[1302, 193]","[36, 48]","[48, 386]","[386, 1302]",,,0.15415354068913217,0.2518209751677586,0.44585723144376055,,,"[386, 48]","[1302, 386]","[193, 1302]",,,PRUNED
20,20,0.7152034640312195,2023-04-04 18:03:07.256363,2023-04-04 18:03:07.712672,0 days 00:00:00.456309,1,128,0.2449726747160086,0.30305328181722513,0.4156912200407162,,,0.0005736423837316406,3,Adam,"[48, 128]",0.2449726747160086,0.30305328181722513,0.4156912200407162,,,"[1302, 193]","[128, 48]","[48, 386]","[386, 1302]",,,0.2449726747160086,0.30305328181722513,0.4156912200407162,,,"[386, 48]","[1302, 386]","[193, 1302]",,,PRUNED
