,number,value,datetime_start,datetime_complete,duration,params_activation,params_hidden_initializer,params_lr,params_n_layers,params_neurons,params_optimizer,params_output_initializer,state
151,151,0.6629839539527893,2023-05-18 17:28:38.739562,2023-05-18 17:28:45.446084,0 days 00:00:06.706522,sigmoid,1,0.00013921995626354241,2,512,2,1,COMPLETE
152,152,0.6632123947143554,2023-05-18 17:28:45.447011,2023-05-18 17:28:52.164260,0 days 00:00:06.717249,sigmoid,1,0.00015397576540393778,2,512,2,1,COMPLETE
153,153,0.6639486193656922,2023-05-18 17:28:52.165176,2023-05-18 17:28:58.622913,0 days 00:00:06.457737,sigmoid,1,0.00010569519937539979,2,512,2,1,COMPLETE
154,154,0.6627569794654846,2023-05-18 17:28:58.623827,2023-05-18 17:29:06.133013,0 days 00:00:07.509186,sigmoid,1,0.00020555551620389235,2,512,2,1,COMPLETE
155,155,0.6925619006156921,2023-05-18 17:29:06.133947,2023-05-18 17:29:13.448191,0 days 00:00:07.314244,linear,1,0.00020546675152254102,2,512,2,1,COMPLETE
156,156,0.7233856797218323,2023-05-18 17:29:13.449263,2023-05-18 17:29:19.869407,0 days 00:00:06.420144,sigmoid,0,6.722445825215041e-05,2,512,3,1,COMPLETE
157,157,0.6629065752029419,2023-05-18 17:29:19.870358,2023-05-18 17:29:27.572878,0 days 00:00:07.702520,sigmoid,1,0.0001635595548609208,2,512,2,1,COMPLETE
158,158,0.6891557097434997,2023-05-18 17:29:27.573822,2023-05-18 17:29:34.590204,0 days 00:00:07.016382,relu,1,0.0001263508574026473,2,512,2,1,COMPLETE
159,159,0.6634485602378846,2023-05-18 17:29:34.591172,2023-05-18 17:29:41.666532,0 days 00:00:07.075360,sigmoid,1,8.738745742515256e-05,2,512,2,1,COMPLETE
160,160,0.6665595054626465,2023-05-18 17:29:41.667520,2023-05-18 17:29:48.192441,0 days 00:00:06.524921,sigmoid,1,0.00018425905425699103,2,256,0,1,COMPLETE
161,161,0.6640959739685058,2023-05-18 17:29:48.193384,2023-05-18 17:29:54.763455,0 days 00:00:06.570071,sigmoid,1,0.0001743696669286255,2,512,2,1,COMPLETE
162,162,0.6628091335296631,2023-05-18 17:29:54.764407,2023-05-18 17:30:01.787009,0 days 00:00:07.022602,sigmoid,1,0.00014471464512901615,2,512,2,1,COMPLETE
163,163,0.6635184168815613,2023-05-18 17:30:01.788013,2023-05-18 17:30:08.710971,0 days 00:00:06.922958,sigmoid,1,0.00023305032588845717,2,512,2,1,COMPLETE
164,164,0.6629980087280274,2023-05-18 17:30:08.712141,2023-05-18 17:30:16.139021,0 days 00:00:07.426880,sigmoid,1,0.00013896787751168103,2,512,2,1,COMPLETE
165,165,0.6629930853843689,2023-05-18 17:30:16.141127,2023-05-18 17:30:23.595126,0 days 00:00:07.453999,sigmoid,1,0.00010659072967637674,2,512,2,1,COMPLETE
166,166,0.6907581925392151,2023-05-18 17:30:23.596487,2023-05-18 17:30:30.657552,0 days 00:00:07.061065,elu,1,0.00014278748413296786,2,512,2,1,COMPLETE
167,167,0.662614107131958,2023-05-18 17:30:30.658536,2023-05-18 17:30:37.539111,0 days 00:00:06.880575,sigmoid,1,0.00010865815385508898,2,512,2,1,COMPLETE
168,168,0.6912700295448303,2023-05-18 17:30:37.540070,2023-05-18 17:30:44.822888,0 days 00:00:07.282818,gelu,1,0.00010753777107745495,2,512,2,1,COMPLETE
169,169,0.6625873804092407,2023-05-18 17:30:44.823872,2023-05-18 17:30:52.320890,0 days 00:00:07.497018,sigmoid,1,0.00014573309659722574,2,512,2,1,COMPLETE
170,170,0.6646044015884399,2023-05-18 17:30:52.321893,2023-05-18 17:30:59.168685,0 days 00:00:06.846792,sigmoid,0,0.00012467637045636683,2,512,2,1,COMPLETE
171,171,0.6620899915695191,2023-05-18 17:30:59.169772,2023-05-18 17:31:05.754356,0 days 00:00:06.584584,sigmoid,1,0.00015044347851078156,2,512,2,1,COMPLETE
172,172,0.6626718282699585,2023-05-18 17:31:05.755330,2023-05-18 17:31:12.289760,0 days 00:00:06.534430,sigmoid,1,0.00015149519712269428,2,512,2,1,COMPLETE
173,173,0.6617568254470825,2023-05-18 17:31:12.290683,2023-05-18 17:31:18.858382,0 days 00:00:06.567699,sigmoid,1,0.00016710334830196278,2,512,2,1,COMPLETE
174,174,0.6644676923751831,2023-05-18 17:31:18.859331,2023-05-18 17:31:25.682182,0 days 00:00:06.822851,sigmoid,1,0.00018565815751903788,2,512,2,1,COMPLETE
175,175,0.6653930306434631,2023-05-18 17:31:25.683103,2023-05-18 17:31:32.932085,0 days 00:00:07.248982,sigmoid,1,0.0002729262541703721,2,64,2,1,COMPLETE
176,176,0.6932523488998413,2023-05-18 17:31:32.933193,2023-05-18 17:31:39.376000,0 days 00:00:06.442807,sigmoid,1,0.00016587334171342777,2,512,1,1,COMPLETE
177,177,0.6646373987197876,2023-05-18 17:31:39.376954,2023-05-18 17:31:45.957652,0 days 00:00:06.580698,sigmoid,1,0.00024482773377165474,2,512,2,1,COMPLETE
178,178,0.6630286335945129,2023-05-18 17:31:45.958574,2023-05-18 17:31:52.998172,0 days 00:00:07.039598,sigmoid,1,0.00020506007089477358,2,512,2,1,COMPLETE
179,179,0.884095287322998,2023-05-18 17:31:52.999119,2023-05-18 17:32:01.411085,0 days 00:00:08.411966,selu,1,0.00014858957738006693,5,512,2,1,COMPLETE
180,180,0.6630719780921936,2023-05-18 17:32:01.412147,2023-05-18 17:32:08.155502,0 days 00:00:06.743355,sigmoid,1,9.351489310951092e-05,2,512,2,1,COMPLETE
181,181,0.6634334921836853,2023-05-18 17:32:08.156473,2023-05-18 17:32:15.069979,0 days 00:00:06.913506,sigmoid,1,0.00013499373089096066,2,512,2,1,COMPLETE
182,182,0.6631383657455444,2023-05-18 17:32:15.070906,2023-05-18 17:32:21.796085,0 days 00:00:06.725179,sigmoid,1,0.0001616941070841107,2,512,2,1,COMPLETE
183,183,0.6632474541664124,2023-05-18 17:32:21.797004,2023-05-18 17:32:28.341518,0 days 00:00:06.544514,sigmoid,1,0.00013384038247250747,2,512,2,1,COMPLETE
184,184,0.6634281396865844,2023-05-18 17:32:28.342453,2023-05-18 17:32:35.521426,0 days 00:00:07.178973,sigmoid,1,0.0001859117816663819,2,512,2,1,COMPLETE
185,185,0.6631458163261413,2023-05-18 17:32:35.522329,2023-05-18 17:32:42.852672,0 days 00:00:07.330343,sigmoid,1,0.0001150238703234814,2,512,2,1,COMPLETE
186,186,0.662970757484436,2023-05-18 17:32:42.853662,2023-05-18 17:32:49.450001,0 days 00:00:06.596339,sigmoid,1,0.00022546992115782922,2,512,2,1,COMPLETE
187,187,0.6637225031852723,2023-05-18 17:32:49.451814,2023-05-18 17:32:56.362875,0 days 00:00:06.911061,sigmoid,1,0.0003066941393519263,2,512,2,1,COMPLETE
188,188,0.7250899553298951,2023-05-18 17:32:56.363860,2023-05-18 17:33:03.746897,0 days 00:00:07.383037,tanh,1,0.0006325904563422784,2,512,2,1,COMPLETE
189,189,0.6768833518028259,2023-05-18 17:33:03.747883,2023-05-18 17:33:10.177779,0 days 00:00:06.429896,sigmoid,0,0.0002227769212768809,2,512,3,1,COMPLETE
190,190,0.6630359411239624,2023-05-18 17:33:10.178713,2023-05-18 17:33:17.361694,0 days 00:00:07.182981,sigmoid,1,0.000273448365074662,2,128,2,1,COMPLETE
191,191,0.6623198390007019,2023-05-18 17:33:17.362686,2023-05-18 17:33:24.398521,0 days 00:00:07.035835,sigmoid,1,0.00017210911261621983,2,512,2,1,COMPLETE
192,192,0.6632153987884521,2023-05-18 17:33:24.399490,2023-05-18 17:33:30.960496,0 days 00:00:06.561006,sigmoid,1,0.0001689677252795281,2,512,2,1,COMPLETE
193,193,0.6638788461685181,2023-05-18 17:33:30.961449,2023-05-18 17:33:37.603772,0 days 00:00:06.642323,sigmoid,1,0.0002015139719845402,2,512,2,1,COMPLETE
194,194,0.6645131349563599,2023-05-18 17:33:37.605747,2023-05-18 17:33:44.132836,0 days 00:00:06.527089,sigmoid,1,0.00023856462758823895,2,512,2,1,COMPLETE
195,195,0.6642446517944336,2023-05-18 17:33:44.133748,2023-05-18 17:33:52.056225,0 days 00:00:07.922477,sigmoid,1,0.0001542511359742521,2,512,2,1,COMPLETE
196,196,0.6671664714813232,2023-05-18 17:33:52.057359,2023-05-18 17:33:59.067775,0 days 00:00:07.010416,sigmoid,1,0.0003629690162254384,2,512,2,1,COMPLETE
197,197,0.6894353151321411,2023-05-18 17:33:59.068845,2023-05-18 17:34:06.084402,0 days 00:00:07.015557,linear,1,9.819373885719499e-05,2,512,2,1,COMPLETE
198,198,0.6670092225074769,2023-05-18 17:34:06.085351,2023-05-18 17:34:12.936148,0 days 00:00:06.850797,sigmoid,1,0.00012159223957074891,2,256,0,0,COMPLETE
199,199,0.6630227208137512,2023-05-18 17:34:12.937099,2023-05-18 17:34:19.542355,0 days 00:00:06.605256,sigmoid,1,0.00019529213685359504,2,512,2,1,COMPLETE
200,200,0.6904520273208619,2023-05-18 17:34:19.543309,2023-05-18 17:34:26.774925,0 days 00:00:07.231616,relu,1,0.00015601324940956428,2,512,2,1,COMPLETE
201,201,0.664102292060852,2023-05-18 17:34:26.775935,2023-05-18 17:34:34.264314,0 days 00:00:07.488379,sigmoid,1,0.00013649424177866068,2,512,2,1,COMPLETE
202,202,0.6635778665542602,2023-05-18 17:34:34.265304,2023-05-18 17:34:40.964327,0 days 00:00:06.699023,sigmoid,1,0.00011827118206946116,2,512,2,1,COMPLETE
203,203,0.6644942283630371,2023-05-18 17:34:40.965437,2023-05-18 17:34:47.894388,0 days 00:00:06.928951,sigmoid,1,0.00016845873887920803,2,512,2,1,COMPLETE
204,204,0.6637553215026856,2023-05-18 17:34:47.895443,2023-05-18 17:34:54.366943,0 days 00:00:06.471500,sigmoid,1,8.260572474713675e-05,2,512,2,1,COMPLETE
205,205,0.6630839586257935,2023-05-18 17:34:54.367909,2023-05-18 17:35:01.388282,0 days 00:00:07.020373,sigmoid,1,0.00014188353004207006,2,512,2,1,COMPLETE
206,206,0.6757157802581787,2023-05-18 17:35:01.389424,2023-05-18 17:35:08.087655,0 days 00:00:06.698231,sigmoid,1,0.0010519453113556597,2,512,2,1,COMPLETE
207,207,0.662755835056305,2023-05-18 17:35:08.088790,2023-05-18 17:35:15.334149,0 days 00:00:07.245359,sigmoid,1,0.00021834983766304869,3,512,2,1,COMPLETE
208,208,0.6707301020622254,2023-05-18 17:35:15.335238,2023-05-18 17:35:22.176149,0 days 00:00:06.840911,elu,0,0.0002308876329308069,3,64,2,1,COMPLETE
209,209,0.8442615747451783,2023-05-18 17:35:22.177138,2023-05-18 17:35:30.647074,0 days 00:00:08.469936,gelu,1,0.00032198004396866435,3,512,2,1,COMPLETE
210,210,0.6764298796653747,2023-05-18 17:35:30.648223,2023-05-18 17:35:37.987289,0 days 00:00:07.339066,sigmoid,1,0.00018903764521566358,3,512,1,1,COMPLETE
211,211,0.6626048445701599,2023-05-18 17:35:37.988280,2023-05-18 17:35:44.647339,0 days 00:00:06.659059,sigmoid,1,0.0002142364737419306,2,512,2,1,COMPLETE
212,212,0.6650771737098694,2023-05-18 17:35:44.648350,2023-05-18 17:35:51.907540,0 days 00:00:07.259190,sigmoid,1,0.00023490435626595754,3,512,2,1,COMPLETE
213,213,0.6651103615760803,2023-05-18 17:35:51.908529,2023-05-18 17:35:58.478399,0 days 00:00:06.569870,sigmoid,1,0.0004487330603055937,2,512,2,1,COMPLETE
214,214,0.6652847409248352,2023-05-18 17:35:58.479415,2023-05-18 17:36:05.564501,0 days 00:00:07.085086,sigmoid,1,0.0001986190052428509,3,512,2,1,COMPLETE
215,215,0.6767792224884033,2023-05-18 17:36:05.565586,2023-05-18 17:36:15.764853,0 days 00:00:10.199267,sigmoid,1,0.00027498272233499233,10,512,2,1,COMPLETE
216,216,0.6686722874641419,2023-05-18 17:36:15.766754,2023-05-18 17:36:23.344415,0 days 00:00:07.577661,sigmoid,1,0.0013919513645758758,2,128,2,1,COMPLETE
217,217,0.6641645073890686,2023-05-18 17:36:23.346417,2023-05-18 17:36:29.926913,0 days 00:00:06.580496,sigmoid,1,0.00017330952253522062,2,512,2,1,COMPLETE
218,218,0.6657395482063293,2023-05-18 17:36:29.927972,2023-05-18 17:36:37.556055,0 days 00:00:07.628083,sigmoid,1,0.00010217497471295239,3,512,2,0,COMPLETE
219,219,0.6631248474121094,2023-05-18 17:36:37.557007,2023-05-18 17:36:44.057837,0 days 00:00:06.500830,sigmoid,1,0.00022060743787468833,2,512,2,1,COMPLETE
220,220,0.674609637260437,2023-05-18 17:36:44.058893,2023-05-18 17:36:51.303654,0 days 00:00:07.244761,sigmoid,1,0.0007311629490187674,2,512,2,1,COMPLETE
221,221,0.6633536696434021,2023-05-18 17:36:51.304662,2023-05-18 17:36:57.979376,0 days 00:00:06.674714,sigmoid,1,0.0001412422837241432,2,512,2,1,COMPLETE
222,222,0.6635128617286682,2023-05-18 17:36:57.980368,2023-05-18 17:37:04.523493,0 days 00:00:06.543125,sigmoid,1,0.00012318720984563406,2,512,2,1,COMPLETE
223,223,0.6712029814720154,2023-05-18 17:37:04.524650,2023-05-18 17:37:12.981328,0 days 00:00:08.456678,sigmoid,1,0.00015952423644259792,6,512,2,1,COMPLETE
224,224,0.677039909362793,2023-05-18 17:37:12.982282,2023-05-18 17:37:19.401259,0 days 00:00:06.418977,sigmoid,1,0.0035876061262992164,2,512,2,1,COMPLETE
225,225,0.6820632696151734,2023-05-18 17:37:19.402197,2023-05-18 17:37:29.514476,0 days 00:00:10.112279,selu,1,0.008825020343697514,9,512,2,1,COMPLETE
226,226,0.6629988670349121,2023-05-18 17:37:29.515478,2023-05-18 17:37:36.126183,0 days 00:00:06.610705,sigmoid,1,0.00018020834321873683,2,512,2,1,COMPLETE
227,227,0.6627660155296325,2023-05-18 17:37:36.127153,2023-05-18 17:37:42.708936,0 days 00:00:06.581783,sigmoid,1,0.00014264638104379162,2,512,2,1,COMPLETE
228,228,0.6647737860679627,2023-05-18 17:37:42.709883,2023-05-18 17:37:49.200011,0 days 00:00:06.490128,sigmoid,0,0.00010863794774904213,2,512,2,1,COMPLETE
229,229,0.6738657712936401,2023-05-18 17:37:49.201089,2023-05-18 17:37:56.552877,0 days 00:00:07.351788,sigmoid,1,0.00024684101503581637,2,512,3,1,COMPLETE
230,230,0.6625460147857666,2023-05-18 17:37:56.554068,2023-05-18 17:38:03.693992,0 days 00:00:07.139924,sigmoid,1,0.0001513975153465317,2,512,2,1,COMPLETE
231,231,0.6630841374397278,2023-05-18 17:38:03.694954,2023-05-18 17:38:10.683122,0 days 00:00:06.988168,sigmoid,1,0.00014427920288765606,2,512,2,1,COMPLETE
232,232,0.6620299220085144,2023-05-18 17:38:10.684092,2023-05-18 17:38:17.247069,0 days 00:00:06.562977,sigmoid,1,0.00019861004946279654,2,512,2,1,COMPLETE
233,233,0.6624884009361267,2023-05-18 17:38:17.248205,2023-05-18 17:38:24.047630,0 days 00:00:06.799425,sigmoid,1,0.00017101645836670474,2,512,2,1,COMPLETE
234,234,0.6623507857322692,2023-05-18 17:38:24.048739,2023-05-18 17:38:31.904315,0 days 00:00:07.855576,sigmoid,1,0.00016939966597116928,2,512,2,1,COMPLETE
235,235,0.662750780582428,2023-05-18 17:38:31.905325,2023-05-18 17:38:39.028307,0 days 00:00:07.122982,sigmoid,1,0.00012121836083527323,2,512,2,1,COMPLETE
236,236,0.6638422131538391,2023-05-18 17:38:39.029293,2023-05-18 17:38:45.802906,0 days 00:00:06.773613,sigmoid,1,0.00011875617086153156,2,512,2,1,COMPLETE
237,237,0.6834716558456421,2023-05-18 17:38:45.803881,2023-05-18 17:38:52.526486,0 days 00:00:06.722605,tanh,1,8.783341342247494e-05,2,512,2,1,COMPLETE
238,238,0.6637007474899292,2023-05-18 17:38:52.527494,2023-05-18 17:38:59.143699,0 days 00:00:06.616205,sigmoid,1,0.00012617402148819325,2,512,2,1,COMPLETE
239,239,0.6706334233283997,2023-05-18 17:38:59.144636,2023-05-18 17:39:05.628086,0 days 00:00:06.483450,sigmoid,1,0.00018348603320030778,2,512,0,0,COMPLETE
240,240,0.6640959143638611,2023-05-18 17:39:05.629207,2023-05-18 17:39:12.833909,0 days 00:00:07.204702,sigmoid,1,0.00010311551968951681,2,256,2,1,COMPLETE
241,241,0.6630686402320862,2023-05-18 17:39:12.834898,2023-05-18 17:39:19.460120,0 days 00:00:06.625222,sigmoid,1,0.00016410431029867465,2,512,2,1,COMPLETE
242,242,0.6634146571159363,2023-05-18 17:39:19.461071,2023-05-18 17:39:26.008362,0 days 00:00:06.547291,sigmoid,1,0.0001529994305484705,2,512,2,1,COMPLETE
243,243,0.6649286270141601,2023-05-18 17:39:26.009475,2023-05-18 17:39:32.612948,0 days 00:00:06.603473,sigmoid,1,0.0001962020852525984,2,128,2,1,COMPLETE
244,244,0.6735859036445617,2023-05-18 17:39:32.613911,2023-05-18 17:39:39.114749,0 days 00:00:06.500838,sigmoid,1,0.0008722171099765105,2,512,2,1,COMPLETE
245,245,0.6634252667427063,2023-05-18 17:39:39.115726,2023-05-18 17:39:46.752416,0 days 00:00:07.636690,sigmoid,1,0.00012770981065587123,2,512,2,1,COMPLETE
246,246,0.6929637312889099,2023-05-18 17:39:46.753473,2023-05-18 17:39:53.400515,0 days 00:00:06.647042,linear,1,0.00016459887794527885,2,512,2,1,COMPLETE
247,247,0.6635385751724243,2023-05-18 17:39:53.401492,2023-05-18 17:39:59.960888,0 days 00:00:06.559396,sigmoid,1,0.00014166353448626264,2,512,2,1,COMPLETE
248,248,0.663313114643097,2023-05-18 17:39:59.961964,2023-05-18 17:40:06.502747,0 days 00:00:06.540783,sigmoid,1,0.00020369851556987356,2,512,2,1,COMPLETE
249,249,0.6871566534042358,2023-05-18 17:40:06.503738,2023-05-18 17:40:12.985764,0 days 00:00:06.482026,relu,1,7.020087973024584e-05,2,512,2,1,COMPLETE
250,250,0.6628212332725525,2023-05-18 17:40:12.986706,2023-05-18 17:40:20.880152,0 days 00:00:07.893446,sigmoid,1,9.95099788987627e-05,2,512,2,1,COMPLETE
251,251,0.6634537935256958,2023-05-18 17:40:20.881298,2023-05-18 17:40:27.677513,0 days 00:00:06.796215,sigmoid,1,9.307304258809498e-05,2,512,2,1,COMPLETE
252,252,0.6689992189407349,2023-05-18 17:40:27.678480,2023-05-18 17:40:34.213408,0 days 00:00:06.534928,sigmoid,1,0.0001131937126285979,2,64,2,1,COMPLETE
253,253,0.6960297226905823,2023-05-18 17:40:34.214393,2023-05-18 17:40:40.665615,0 days 00:00:06.451222,sigmoid,1,8.076910088770924e-05,2,512,1,1,COMPLETE
254,254,0.7821159362792969,2023-05-18 17:40:40.666573,2023-05-18 17:40:47.588335,0 days 00:00:06.921762,elu,1,0.0017797509811159442,2,512,2,1,COMPLETE
255,255,0.6645383715629578,2023-05-18 17:40:47.589302,2023-05-18 17:40:54.057490,0 days 00:00:06.468188,sigmoid,1,5.316524935642309e-05,2,512,2,0,COMPLETE
256,256,0.6667546033859253,2023-05-18 17:40:54.058712,2023-05-18 17:41:01.476010,0 days 00:00:07.417298,sigmoid,1,9.982708346957952e-05,2,128,2,1,COMPLETE
257,257,0.696090579032898,2023-05-18 17:41:01.477141,2023-05-18 17:41:08.975163,0 days 00:00:07.498022,gelu,1,0.00012754414341011757,2,512,2,1,COMPLETE
258,258,0.7041007518768311,2023-05-18 17:41:08.976166,2023-05-18 17:41:15.942722,0 days 00:00:06.966556,sigmoid,1,0.08195403760784012,2,512,2,1,COMPLETE
259,259,0.6643418312072754,2023-05-18 17:41:15.943741,2023-05-18 17:41:22.494729,0 days 00:00:06.550988,sigmoid,1,6.323687480554359e-05,2,512,2,1,COMPLETE
260,260,0.6628749132156372,2023-05-18 17:41:22.495717,2023-05-18 17:41:29.314322,0 days 00:00:06.818605,sigmoid,1,0.0001971881061210952,2,512,2,1,COMPLETE
261,261,0.6670101165771485,2023-05-18 17:41:29.315414,2023-05-18 17:41:37.007341,0 days 00:00:07.691927,sigmoid,1,0.0005743723005059022,2,512,2,1,COMPLETE
262,262,0.668461287021637,2023-05-18 17:41:37.008489,2023-05-18 17:41:44.489765,0 days 00:00:07.481276,sigmoid,1,2.391320618104868e-05,2,512,2,1,COMPLETE
263,263,0.6646318435668945,2023-05-18 17:41:44.490753,2023-05-18 17:41:51.792490,0 days 00:00:07.301737,sigmoid,1,0.00028485448671485903,2,512,2,1,COMPLETE
264,264,0.8631803631782532,2023-05-18 17:41:51.793458,2023-05-18 17:41:58.944692,0 days 00:00:07.151234,selu,1,0.00014545158974717484,2,512,3,1,COMPLETE
265,265,0.6634017705917359,2023-05-18 17:41:58.945637,2023-05-18 17:42:05.574938,0 days 00:00:06.629301,sigmoid,1,0.00010744205753574692,2,512,2,1,COMPLETE
266,266,0.6622197031974792,2023-05-18 17:42:05.575902,2023-05-18 17:42:13.246099,0 days 00:00:07.670197,sigmoid,1,0.0001726512310422226,2,512,2,0,COMPLETE
267,267,0.6718903064727784,2023-05-18 17:42:13.247237,2023-05-18 17:42:20.589136,0 days 00:00:07.341899,sigmoid,1,0.0012506926932090744,3,512,2,0,COMPLETE
268,268,0.6644045114517212,2023-05-18 17:42:20.590102,2023-05-18 17:42:27.208958,0 days 00:00:06.618856,sigmoid,1,0.00018352681350686012,2,128,2,0,COMPLETE
269,269,0.6728208661079407,2023-05-18 17:42:27.210008,2023-05-18 17:42:34.121718,0 days 00:00:06.911710,sigmoid,1,0.0002342310568024252,2,512,0,0,COMPLETE
270,270,0.6640565037727356,2023-05-18 17:42:34.122728,2023-05-18 17:42:41.421231,0 days 00:00:07.298503,sigmoid,1,0.00016164339738868215,2,512,2,0,COMPLETE
271,271,0.8430027484893798,2023-05-18 17:42:41.422161,2023-05-18 17:42:48.559591,0 days 00:00:07.137430,tanh,1,0.002636296409199917,2,512,2,0,COMPLETE
272,272,0.6632153749465942,2023-05-18 17:42:48.560682,2023-05-18 17:42:55.452349,0 days 00:00:06.891667,sigmoid,1,0.0003330173657617903,3,256,2,0,COMPLETE
273,273,0.6633602857589722,2023-05-18 17:42:55.453471,2023-05-18 17:43:01.993845,0 days 00:00:06.540374,sigmoid,1,0.00020853616352186472,2,512,2,1,COMPLETE
274,274,0.6693289637565613,2023-05-18 17:43:01.994820,2023-05-18 17:43:09.974943,0 days 00:00:07.980123,sigmoid,1,0.0001283501317601796,5,512,2,1,COMPLETE
275,275,0.6727088451385498,2023-05-18 17:43:09.975921,2023-05-18 17:43:16.380917,0 days 00:00:06.404996,sigmoid,1,0.0009699774755102266,2,512,2,1,COMPLETE
276,276,0.6817067861557007,2023-05-18 17:43:16.382016,2023-05-18 17:43:24.357742,0 days 00:00:07.975726,linear,1,0.0004077695648669887,4,64,2,1,COMPLETE
277,277,0.6645388722419738,2023-05-18 17:43:24.358750,2023-05-18 17:43:31.073230,0 days 00:00:06.714480,sigmoid,1,0.0001638813603073487,2,512,2,0,COMPLETE
278,278,0.6759467124938965,2023-05-18 17:43:31.074193,2023-05-18 17:43:38.477681,0 days 00:00:07.403488,sigmoid,1,0.0002683326258270391,2,512,1,1,COMPLETE
279,279,0.6991968631744385,2023-05-18 17:43:38.478667,2023-05-18 17:43:45.306140,0 days 00:00:06.827473,relu,1,0.0001416123615953732,3,512,2,1,COMPLETE
280,280,0.6646832942962646,2023-05-18 17:43:45.307119,2023-05-18 17:43:51.885270,0 days 00:00:06.578151,sigmoid,1,0.0004887065622198846,2,512,2,1,COMPLETE
281,281,0.662948751449585,2023-05-18 17:43:51.886292,2023-05-18 17:43:59.154899,0 days 00:00:07.268607,sigmoid,1,0.00018223887213193951,2,512,2,1,COMPLETE
282,282,0.6634740591049194,2023-05-18 17:43:59.156090,2023-05-18 17:44:06.023837,0 days 00:00:06.867747,sigmoid,1,0.00012449794455511354,2,512,2,1,COMPLETE
283,283,0.6632612466812133,2023-05-18 17:44:06.024855,2023-05-18 17:44:12.611754,0 days 00:00:06.586899,sigmoid,1,0.00022321997821846357,2,512,2,1,COMPLETE
284,284,0.6703442454338073,2023-05-18 17:44:12.612752,2023-05-18 17:44:19.537260,0 days 00:00:06.924508,sigmoid,1,0.0007263539205127871,2,512,2,1,COMPLETE
285,285,0.6653517365455628,2023-05-18 17:44:19.538265,2023-05-18 17:44:26.571504,0 days 00:00:07.033239,sigmoid,1,0.00014918446930152246,2,128,2,1,COMPLETE
286,286,0.6993229508399963,2023-05-18 17:44:26.572497,2023-05-18 17:44:35.055798,0 days 00:00:08.483301,gelu,1,8.557500637725069e-05,3,512,2,1,COMPLETE
287,287,0.6652236700057983,2023-05-18 17:44:35.056810,2023-05-18 17:44:42.271332,0 days 00:00:07.214522,sigmoid,1,0.00018591469087457616,2,512,2,0,COMPLETE
288,288,0.6634426116943359,2023-05-18 17:44:42.272393,2023-05-18 17:44:48.863008,0 days 00:00:06.590615,sigmoid,1,0.00012123962862521985,2,512,2,1,COMPLETE
289,289,0.6753862023353576,2023-05-18 17:44:48.864015,2023-05-18 17:44:55.622838,0 days 00:00:06.758823,sigmoid,1,0.00029346116094633744,2,512,3,1,COMPLETE
290,290,1.122675371170044,2023-05-18 17:44:55.623846,2023-05-18 17:45:04.455815,0 days 00:00:08.831969,elu,1,0.0002106759143877377,8,512,2,1,COMPLETE
291,291,0.6691920757293701,2023-05-18 17:45:04.456784,2023-05-18 17:45:12.032370,0 days 00:00:07.575586,sigmoid,1,0.0017124677907057295,3,512,2,1,COMPLETE
292,292,0.6638764858245849,2023-05-18 17:45:12.033413,2023-05-18 17:45:18.748934,0 days 00:00:06.715521,sigmoid,1,0.00016203833529337576,2,512,2,1,COMPLETE
293,293,0.707090950012207,2023-05-18 17:45:18.749963,2023-05-18 17:45:25.373160,0 days 00:00:06.623197,selu,1,0.00010014024583571143,2,512,2,1,COMPLETE
294,294,0.6659999370574952,2023-05-18 17:45:25.374293,2023-05-18 17:45:32.322216,0 days 00:00:06.947923,sigmoid,1,0.00014424808967735317,2,256,0,1,COMPLETE
295,295,0.6637600660324097,2023-05-18 17:45:32.323215,2023-05-18 17:45:38.917467,0 days 00:00:06.594252,sigmoid,1,7.682449991341907e-05,2,512,2,1,COMPLETE
296,296,0.6655718803405761,2023-05-18 17:45:38.918459,2023-05-18 17:45:46.322904,0 days 00:00:07.404445,sigmoid,1,0.00025411319445290873,3,128,2,0,COMPLETE
297,297,0.6771780610084533,2023-05-18 17:45:46.324416,2023-05-18 17:45:53.396401,0 days 00:00:07.071985,sigmoid,1,0.002021742235101452,2,512,2,1,COMPLETE
298,298,0.6640636444091796,2023-05-18 17:45:53.397405,2023-05-18 17:46:00.054036,0 days 00:00:06.656631,sigmoid,1,0.00011168739729559943,2,512,2,1,COMPLETE
299,299,0.6639598131179809,2023-05-18 17:46:00.055029,2023-05-18 17:46:07.479149,0 days 00:00:07.424120,sigmoid,1,0.00035575006897582635,2,512,2,1,COMPLETE
300,300,0.6647885799407959,2023-05-18 17:46:07.480159,2023-05-18 17:46:14.450200,0 days 00:00:06.970041,sigmoid,1,0.00018236430482526926,2,512,2,1,COMPLETE
301,301,0.6682980060577393,2023-05-18 17:46:14.451171,2023-05-18 17:46:21.028285,0 days 00:00:06.577114,sigmoid,1,0.00012918062900316808,2,64,2,1,COMPLETE
302,302,0.7122012853622437,2023-05-18 17:46:21.029247,2023-05-18 17:46:28.561676,0 days 00:00:07.532429,tanh,1,0.0011929483894875645,3,512,1,1,COMPLETE
303,303,0.6687661290168763,2023-05-18 17:46:28.562681,2023-05-18 17:46:37.071115,0 days 00:00:08.508434,sigmoid,1,0.0006313729417350289,7,512,2,1,COMPLETE
