,number,value,datetime_start,datetime_complete,duration,params_activation,params_hidden_initializer,params_lr,params_n_layers,params_neurons,params_optimizer,params_output_initializer,state
34,34,0.6639355301856995,2023-05-18 17:14:45.936559,2023-05-18 17:14:52.432172,0 days 00:00:06.495613,sigmoid,1,0.0007857626663076268,2,128,2,0,COMPLETE
35,35,0.8718156337738037,2023-05-18 17:14:52.433089,2023-05-18 17:15:00.275708,0 days 00:00:07.842619,gelu,1,0.002362957133840743,2,128,2,0,COMPLETE
36,36,0.7031497001647949,2023-05-18 17:15:00.276588,2023-05-18 17:15:07.314773,0 days 00:00:07.038185,selu,1,0.0007224836115669482,2,128,2,0,COMPLETE
37,37,0.7057690978050232,2023-05-18 17:15:07.315734,2023-05-18 17:15:13.944066,0 days 00:00:06.628332,sigmoid,1,0.00039603242569941733,3,128,3,0,COMPLETE
38,38,0.68571617603302,2023-05-18 17:15:13.944981,2023-05-18 17:15:20.431794,0 days 00:00:06.486813,linear,1,0.001767748490452927,2,128,2,0,COMPLETE
39,39,0.730379319190979,2023-05-18 17:15:20.432710,2023-05-18 17:15:27.041599,0 days 00:00:06.608889,tanh,1,0.0008679832589708814,3,128,1,0,COMPLETE
40,40,0.6709163784980774,2023-05-18 17:15:27.042606,2023-05-18 17:15:33.404816,0 days 00:00:06.362210,sigmoid,1,0.0012704619015866635,2,256,0,0,COMPLETE
41,41,0.6652674913406372,2023-05-18 17:15:33.405702,2023-05-18 17:15:40.442760,0 days 00:00:07.037058,sigmoid,1,0.0009526394853572527,2,128,2,0,COMPLETE
42,42,0.692205011844635,2023-05-18 17:15:40.443660,2023-05-18 17:15:47.494969,0 days 00:00:07.051309,sigmoid,1,0.004324558491650403,3,128,2,0,COMPLETE
43,43,0.7226241111755372,2023-05-18 17:15:47.495898,2023-05-18 17:15:54.062546,0 days 00:00:06.566648,selu,1,0.0016712214992862695,2,128,2,0,COMPLETE
44,44,0.6675670266151428,2023-05-18 17:15:54.063453,2023-05-18 17:16:00.556971,0 days 00:00:06.493518,sigmoid,1,0.00046879070761453637,2,512,2,0,COMPLETE
45,45,0.6739777803421021,2023-05-18 17:16:00.557931,2023-05-18 17:16:07.445807,0 days 00:00:06.887876,sigmoid,1,0.0009056336471447065,3,128,3,0,COMPLETE
46,46,0.995572316646576,2023-05-18 17:16:07.446699,2023-05-18 17:16:16.418329,0 days 00:00:08.971630,elu,1,0.0005894716072437382,8,128,2,0,COMPLETE
47,47,0.6639574885368347,2023-05-18 17:16:16.419397,2023-05-18 17:16:23.083743,0 days 00:00:06.664346,sigmoid,1,0.0004589848438218675,2,128,0,0,COMPLETE
48,48,0.6900097966194153,2023-05-18 17:16:23.084654,2023-05-18 17:16:29.646101,0 days 00:00:06.561447,tanh,1,0.0001414444688379399,2,512,0,0,COMPLETE
49,49,0.7084722876548767,2023-05-18 17:16:29.647118,2023-05-18 17:16:36.437762,0 days 00:00:06.790644,linear,1,0.0005213354082820312,2,128,0,0,COMPLETE
50,50,0.7889182925224304,2023-05-18 17:16:36.438662,2023-05-18 17:16:45.438631,0 days 00:00:08.999969,elu,0,0.00037697525034541247,10,256,0,0,COMPLETE
51,51,0.6721428155899047,2023-05-18 17:16:45.439513,2023-05-18 17:16:52.152345,0 days 00:00:06.712832,sigmoid,1,0.0008178640082517931,3,128,0,0,COMPLETE
52,52,0.665019941329956,2023-05-18 17:16:52.153237,2023-05-18 17:16:59.201301,0 days 00:00:07.048064,sigmoid,1,0.0011458315284183528,3,128,2,0,COMPLETE
53,53,0.6657505750656127,2023-05-18 17:16:59.202206,2023-05-18 17:17:06.065319,0 days 00:00:06.863113,sigmoid,1,0.00046500818321304574,3,128,0,0,COMPLETE
